vehicle_id,date,mileage,maintenance_type,service_category,description,labor_hours,parts_cost,labor_cost,downtime_hours,technician_id,completed
TRUCK-0002,2023-01-31,470854,Preventive,DOT Inspection,Oil change and filter replacement,4.1,960,423,4,TECH-020,False
TRUCK-0002,2023-05-08,489439,Corrective,Tires,Brake pad replacement,2.0,705,154,44,TECH-009,True
TRUCK-0002,2021-09-19,494727,Preventive,Engine,Brake pad replacement,7.6,1345,498,39,TECH-001,True
TRUCK-0002,2020-02-06,469266,Preventive,Engine,Coolant system flush,6.6,347,169,53,TECH-001,True
TRUCK-0002,2020-07-19,453549,Inspection,Brakes,Air filter replacement,5.8,1107,512,29,TECH-012,True
TRUCK-0002,2023-05-06,491956,Preventive,Tires,Engine diagnostic and repair,6.3,1190,474,2,TECH-013,True
TRUCK-0002,2023-09-10,491537,Emergency,Tires,Engine diagnostic and repair,1.6,873,775,21,TECH-017,True
TRUCK-0002,2020-11-30,471490,Preventive,Tires,Electrical system troubleshooting,6.7,557,796,40,TECH-002,True
TRUCK-0002,2021-12-29,491935,Preventive,Electrical,Electrical system troubleshooting,0.9,277,627,64,TECH-009,True
TRUCK-0002,2023-01-31,455471,Preventive,Electrical,Transmission fluid change,4.4,1191,579,54,TECH-016,False
TRUCK-0002,2023-05-30,462891,Emergency,DOT Inspection,Coolant system flush,7.6,994,741,50,TECH-015,False
TRUCK-0002,2021-03-23,453188,Inspection,Electrical,DOT annual inspection,7.6,128,707,72,TECH-015,False
TRUCK-0002,2022-02-08,449805,Emergency,Electrical,Engine diagnostic and repair,0.6,1035,279,43,TECH-005,True
TRUCK-0002,2023-06-23,459500,Inspection,Electrical,Engine diagnostic and repair,5.8,243,200,51,TECH-002,True
TRUCK-0002,2022-09-09,456629,Inspection,DOT Inspection,Oil change and filter replacement,3.1,628,394,64,TECH-017,True
TRUCK-0002,2023-12-17,448187,Corrective,DOT Inspection,Brake pad replacement,2.9,882,563,0,TECH-020,True
TRUCK-0002,2021-12-13,461678,Inspection,Brakes,Tire rotation and balancing,1.2,984,775,20,TECH-011,False
TRUCK-0002,2023-04-12,451760,Inspection,Electrical,Electrical system troubleshooting,5.0,1239,591,56,TECH-018,True
TRUCK-0002,2023-12-03,460538,Inspection,Engine,Transmission fluid change,6.7,485,437,23,TECH-008,True
TRUCK-0002,2023-01-12,469242,Corrective,Engine,Brake pad replacement,4.3,1252,697,49,TECH-002,True
TRUCK-0002,2023-06-19,489589,Corrective,DOT Inspection,Engine diagnostic and repair,4.1,735,737,64,TECH-008,False
TRUCK-0002,2023-03-14,477970,Preventive,DOT Inspection,Oil change and filter replacement,6.9,287,574,48,TECH-013,True
TRUCK-0002,2020-10-17,491218,Preventive,Transmission,Oil change and filter replacement,7.1,190,616,28,TECH-012,True
TRUCK-0002,2023-09-22,492671,Inspection,Transmission,Tire rotation and balancing,3.8,1058,452,62,TECH-019,True
TRUCK-0002,2023-10-12,487895,Preventive,DOT Inspection,Engine diagnostic and repair,5.9,667,623,47,TECH-017,False
TRUCK-0002,2020-11-20,451950,Emergency,Engine,Coolant system flush,4.1,968,367,45,TECH-004,True
TRUCK-0002,2023-11-03,495407,Preventive,Brakes,Transmission fluid change,1.0,494,237,48,TECH-003,True
TRUCK-0002,2023-10-12,494552,Corrective,Engine,Coolant system flush,3.6,1146,88,21,TECH-002,False
TRUCK-0002,2021-09-06,447473,Inspection,Tires,Air filter replacement,5.2,444,594,53,TECH-013,True
TRUCK-0002,2023-09-29,465762,Preventive,Electrical,Transmission fluid change,4.8,578,647,59,TECH-007,True
TRUCK-0002,2021-03-30,492110,Inspection,Engine,Transmission fluid change,2.8,335,676,54,TECH-008,True
TRUCK-0002,2022-05-13,494766,Emergency,Brakes,Transmission fluid change,3.1,102,76,19,TECH-012,True
TRUCK-0002,2023-07-11,450535,Emergency,Brakes,Coolant system flush,1.1,1153,498,4,TECH-011,True
TRUCK-0002,2022-09-26,463749,Emergency,Electrical,Brake pad replacement,6.5,1328,110,36,TECH-005,True
TRUCK-0002,2022-01-18,453289,Corrective,Tires,Air filter replacement,1.1,1070,263,59,TECH-010,True
TRUCK-0002,2021-12-26,474778,Inspection,Transmission,Tire rotation and balancing,5.6,180,527,32,TECH-020,True
TRUCK-0002,2020-12-28,481444,Preventive,Electrical,Air filter replacement,2.6,251,673,50,TECH-014,False
TRUCK-0002,2023-09-14,463547,Corrective,Brakes,Transmission fluid change,2.6,52,442,52,TECH-007,True
TRUCK-0002,2022-09-05,484963,Preventive,Engine,Engine diagnostic and repair,7.7,225,348,3,TECH-006,True
TRUCK-0002,2022-02-28,469873,Preventive,Electrical,Oil change and filter replacement,3.4,1017,183,6,TECH-013,False
TRUCK-0002,2022-03-11,456074,Corrective,Engine,Air filter replacement,5.3,1084,624,50,TECH-003,False
TRUCK-0002,2022-01-11,476444,Inspection,Engine,DOT annual inspection,3.9,1497,415,0,TECH-014,True
TRUCK-0002,2021-06-14,457444,Preventive,Engine,Brake pad replacement,7.1,563,626,70,TECH-008,False
TRUCK-0002,2023-09-08,462454,Emergency,Transmission,DOT annual inspection,4.7,244,694,34,TECH-020,False
TRUCK-0002,2020-06-10,459558,Emergency,Brakes,DOT annual inspection,5.6,659,433,15,TECH-002,True
TRUCK-0002,2020-10-05,464541,Inspection,Electrical,Engine diagnostic and repair,5.4,843,395,41,TECH-001,True
TRUCK-0002,2022-10-25,461409,Emergency,Transmission,Air filter replacement,5.6,866,326,70,TECH-003,True
TRUCK-0002,2023-03-29,463692,Emergency,DOT Inspection,Electrical system troubleshooting,4.5,1456,520,66,TECH-012,False
TRUCK-0002,2023-03-25,451281,Emergency,DOT Inspection,Air filter replacement,6.6,963,575,5,TECH-016,True
TRUCK-0002,2020-05-26,451575,Inspection,Tires,Engine diagnostic and repair,5.8,607,373,27,TECH-005,True
TRUCK-0002,2023-02-23,456755,Emergency,Tires,Coolant system flush,3.0,1014,336,11,TECH-017,True
TRUCK-0002,2021-07-04,486352,Preventive,Transmission,Electrical system troubleshooting,8.0,1331,766,19,TECH-007,True
TRUCK-0002,2020-11-10,453858,Emergency,Tires,Engine diagnostic and repair,1.9,71,110,65,TECH-002,True
TRUCK-0002,2023-10-07,455465,Preventive,Tires,Tire rotation and balancing,2.9,1017,430,51,TECH-014,False
TRUCK-0002,2023-03-15,493500,Inspection,Brakes,Electrical system troubleshooting,5.0,416,751,71,TECH-008,False
TRUCK-0002,2023-08-10,458820,Preventive,Tires,Engine diagnostic and repair,6.2,315,704,25,TECH-010,True
TRUCK-0002,2020-09-02,467582,Corrective,Brakes,Tire rotation and balancing,3.3,62,120,10,TECH-017,False
TRUCK-0002,2022-10-16,472120,Emergency,Tires,Transmission fluid change,6.5,520,374,24,TECH-006,True
TRUCK-0002,2020-05-18,447684,Corrective,Electrical,Coolant system flush,3.9,681,161,64,TECH-012,False
TRUCK-0002,2023-08-01,485544,Preventive,Brakes,Tire rotation and balancing,1.2,1440,799,68,TECH-001,False
TRUCK-0002,2020-07-26,482691,Preventive,Transmission,Transmission fluid change,6.8,240,209,30,TECH-019,True
TRUCK-0002,2023-04-19,451037,Preventive,DOT Inspection,Brake pad replacement,2.6,1178,351,51,TECH-017,True
TRUCK-0002,2021-09-11,482407,Preventive,Transmission,Electrical system troubleshooting,3.2,762,378,69,TECH-008,True
TRUCK-0003,2023-07-14,349465,Preventive,Engine,Electrical system troubleshooting,7.2,764,632,3,TECH-009,True
TRUCK-0003,2020-09-06,352338,Corrective,DOT Inspection,DOT annual inspection,3.5,1356,656,58,TECH-017,True
TRUCK-0003,2020-09-27,340359,Emergency,Brakes,DOT annual inspection,5.6,1109,670,10,TECH-002,False
TRUCK-0003,2021-12-24,357121,Corrective,DOT Inspection,Transmission fluid change,5.3,302,357,15,TECH-007,False
TRUCK-0003,2021-08-13,361775,Inspection,DOT Inspection,Engine diagnostic and repair,3.6,1330,327,52,TECH-014,False
TRUCK-0003,2023-05-08,362181,Emergency,DOT Inspection,Tire rotation and balancing,1.1,124,431,39,TECH-006,False
TRUCK-0003,2022-05-17,368290,Inspection,Electrical,Tire rotation and balancing,4.0,1463,301,32,TECH-020,True
TRUCK-0003,2021-07-15,343776,Corrective,Transmission,Oil change and filter replacement,3.7,193,490,30,TECH-012,True
TRUCK-0003,2022-03-21,343390,Emergency,Electrical,Electrical system troubleshooting,7.3,1185,429,20,TECH-002,True
TRUCK-0003,2022-09-07,349224,Corrective,Engine,Brake pad replacement,2.1,1144,185,63,TECH-005,True
TRUCK-0003,2022-03-20,348417,Preventive,Transmission,Transmission fluid change,2.2,608,160,35,TECH-017,True
TRUCK-0003,2020-05-18,373578,Inspection,Brakes,DOT annual inspection,2.0,235,453,1,TECH-011,True
TRUCK-0003,2023-01-31,374173,Corrective,Tires,Tire rotation and balancing,7.2,69,777,13,TECH-015,True
TRUCK-0003,2023-08-21,379274,Corrective,Electrical,DOT annual inspection,7.3,1316,706,13,TECH-015,False
TRUCK-0003,2021-12-23,344280,Corrective,Transmission,Oil change and filter replacement,2.4,221,274,72,TECH-020,True
TRUCK-0003,2021-01-29,360245,Corrective,Brakes,Tire rotation and balancing,1.1,279,521,5,TECH-002,True
TRUCK-0003,2022-10-31,340535,Preventive,Brakes,Oil change and filter replacement,1.3,1306,169,63,TECH-006,True
TRUCK-0003,2022-06-20,367555,Preventive,Tires,Oil change and filter replacement,4.8,1461,142,3,TECH-018,False
TRUCK-0003,2021-03-22,372121,Emergency,Tires,Electrical system troubleshooting,6.1,594,410,25,TECH-014,True
TRUCK-0003,2022-01-21,379781,Corrective,Electrical,Brake pad replacement,2.8,1112,199,39,TECH-014,False
TRUCK-0003,2021-11-11,334801,Corrective,Transmission,Engine diagnostic and repair,1.7,806,520,64,TECH-020,True
TRUCK-0003,2022-06-26,381192,Emergency,Electrical,DOT annual inspection,0.7,1081,366,42,TECH-011,True
TRUCK-0003,2023-02-23,336767,Inspection,Engine,Tire rotation and balancing,6.6,538,215,69,TECH-015,True
TRUCK-0003,2022-07-15,349753,Corrective,Brakes,Brake pad replacement,4.8,679,78,35,TECH-013,True
TRUCK-0003,2020-09-06,369555,Inspection,Brakes,Electrical system troubleshooting,4.1,900,369,27,TECH-010,True
TRUCK-0003,2020-08-17,380888,Emergency,Transmission,Coolant system flush,7.0,257,604,46,TECH-012,False
TRUCK-0003,2022-03-26,361562,Corrective,DOT Inspection,Coolant system flush,4.5,1328,563,65,TECH-017,True
TRUCK-0003,2020-06-02,350152,Corrective,Brakes,Air filter replacement,5.6,907,347,37,TECH-010,False
TRUCK-0003,2020-06-15,382266,Preventive,Electrical,Tire rotation and balancing,2.9,1246,477,1,TECH-010,True
TRUCK-0003,2022-10-13,377665,Preventive,Electrical,Brake pad replacement,3.8,970,593,56,TECH-018,True
TRUCK-0003,2020-01-12,365807,Emergency,Tires,Tire rotation and balancing,3.4,518,268,5,TECH-009,True
TRUCK-0003,2023-02-09,368332,Inspection,Brakes,Transmission fluid change,3.8,560,682,42,TECH-003,True
TRUCK-0003,2021-11-01,367359,Preventive,Electrical,Transmission fluid change,2.1,1304,442,35,TECH-018,True
TRUCK-0003,2022-08-26,342352,Corrective,DOT Inspection,Transmission fluid change,7.3,734,164,34,TECH-016,True
TRUCK-0003,2020-11-26,369522,Preventive,Transmission,Coolant system flush,1.6,800,738,63,TECH-006,False
TRUCK-0003,2022-09-16,346109,Emergency,Tires,Brake pad replacement,3.3,549,796,13,TECH-007,True
TRUCK-0003,2021-12-22,344031,Inspection,Engine,Air filter replacement,0.7,1210,575,49,TECH-017,True
TRUCK-0003,2021-11-20,341656,Corrective,Transmission,Engine diagnostic and repair,4.1,164,541,62,TECH-020,True
TRUCK-0003,2022-03-30,356064,Corrective,Brakes,Engine diagnostic and repair,6.1,80,475,39,TECH-015,False
TRUCK-0003,2023-02-08,350088,Corrective,Engine,Tire rotation and balancing,6.8,611,765,16,TECH-020,False
TRUCK-0003,2020-01-07,349489,Inspection,Transmission,Tire rotation and balancing,2.4,1219,372,20,TECH-005,True
TRUCK-0003,2020-01-30,338669,Inspection,Transmission,DOT annual inspection,2.5,1488,652,52,TECH-017,True
TRUCK-0003,2020-10-18,346691,Inspection,Brakes,Tire rotation and balancing,7.3,758,649,31,TECH-015,False
TRUCK-0003,2020-02-28,337472,Emergency,Tires,Brake pad replacement,4.0,1049,611,3,TECH-019,False
TRUCK-0003,2020-04-16,347711,Inspection,Transmission,Coolant system flush,2.7,1246,186,46,TECH-001,True
TRUCK-0003,2022-12-27,336474,Emergency,Tires,Tire rotation and balancing,5.9,760,730,20,TECH-014,True
TRUCK-0003,2021-02-27,344104,Preventive,DOT Inspection,DOT annual inspection,0.7,267,199,40,TECH-017,False
TRUCK-0003,2020-10-15,367266,Emergency,Tires,DOT annual inspection,7.7,940,493,17,TECH-007,True
TRUCK-0003,2021-07-16,357291,Preventive,DOT Inspection,Air filter replacement,6.8,1069,562,7,TECH-014,False
TRUCK-0003,2023-12-09,359320,Corrective,Transmission,Air filter replacement,7.8,1083,260,70,TECH-005,True
TRUCK-0003,2021-07-27,337885,Corrective,Engine,DOT annual inspection,5.9,945,331,54,TECH-020,True
TRUCK-0003,2023-03-19,342701,Emergency,Tires,Transmission fluid change,4.2,1314,606,45,TECH-019,True
TRUCK-0003,2022-04-11,372332,Preventive,Engine,Oil change and filter replacement,7.5,469,269,5,TECH-020,True
TRUCK-0003,2023-12-23,365516,Inspection,Engine,Electrical system troubleshooting,1.3,1041,251,68,TECH-015,True
TRUCK-0003,2021-11-21,377989,Preventive,Transmission,Tire rotation and balancing,4.2,1386,536,45,TECH-008,True
TRUCK-0003,2021-09-04,346059,Inspection,Engine,DOT annual inspection,2.6,189,194,20,TECH-010,False
TRUCK-0003,2021-04-07,372590,Preventive,Engine,Air filter replacement,5.2,361,171,66,TECH-013,True
TRUCK-0003,2023-06-03,339696,Preventive,Tires,Electrical system troubleshooting,1.4,296,440,29,TECH-020,True
TRUCK-0003,2022-02-28,360299,Preventive,Brakes,Transmission fluid change,4.0,415,516,50,TECH-001,True
TRUCK-0003,2022-06-21,374639,Corrective,Brakes,Transmission fluid change,7.1,726,391,72,TECH-002,True
TRUCK-0003,2023-09-29,376300,Emergency,Electrical,DOT annual inspection,1.6,131,297,70,TECH-002,True
TRUCK-0003,2023-10-05,365004,Corrective,Transmission,Electrical system troubleshooting,6.1,566,409,14,TECH-005,True
TRUCK-0003,2022-12-14,353458,Emergency,DOT Inspection,Oil change and filter replacement,2.5,1024,794,14,TECH-014,False
TRUCK-0003,2020-07-31,368361,Emergency,Brakes,Oil change and filter replacement,1.3,682,674,18,TECH-009,True
TRUCK-0003,2021-02-10,361286,Corrective,DOT Inspection,DOT annual inspection,4.9,1319,263,4,TECH-009,True
TRUCK-0003,2020-05-15,351958,Emergency,Transmission,Electrical system troubleshooting,7.3,1272,342,63,TECH-001,True
TRUCK-0003,2022-12-23,367091,Preventive,Engine,Air filter replacement,4.8,1324,277,20,TECH-006,True
TRUCK-0003,2022-01-12,340993,Corrective,Tires,Engine diagnostic and repair,5.3,1467,316,72,TECH-017,True
TRUCK-0003,2023-10-27,378778,Inspection,Electrical,Tire rotation and balancing,6.7,840,92,31,TECH-004,False
TRUCK-0003,2020-12-05,334235,Corrective,Electrical,Brake pad replacement,3.6,1363,346,41,TECH-016,True
TRUCK-0003,2020-04-21,341007,Corrective,DOT Inspection,Oil change and filter replacement,4.7,548,758,14,TECH-017,False
TRUCK-0003,2020-05-11,366554,Corrective,Tires,Coolant system flush,2.0,178,330,25,TECH-018,True
TRUCK-0003,2020-03-05,371124,Corrective,Engine,Tire rotation and balancing,1.4,763,620,13,TECH-001,True
TRUCK-0003,2020-10-09,362959,Inspection,Engine,Coolant system flush,6.1,847,467,39,TECH-013,False
TRUCK-0003,2022-03-06,333014,Preventive,DOT Inspection,Oil change and filter replacement,4.6,151,684,50,TECH-003,True
TRUCK-0003,2020-01-07,366970,Emergency,Transmission,Tire rotation and balancing,4.0,229,709,69,TECH-013,True
TRUCK-0003,2020-06-08,366259,Emergency,Engine,Brake pad replacement,1.6,493,440,2,TECH-016,True
TRUCK-0003,2022-09-20,340668,Inspection,Electrical,Engine diagnostic and repair,6.7,285,345,3,TECH-001,False
TRUCK-0003,2022-08-19,365427,Preventive,Engine,Tire rotation and balancing,4.1,1451,531,69,TECH-013,True
TRUCK-0003,2021-02-13,347948,Preventive,Brakes,Air filter replacement,7.9,899,614,38,TECH-003,True
TRUCK-0003,2021-03-01,373287,Corrective,Engine,DOT annual inspection,5.2,91,518,12,TECH-001,True
TRUCK-0003,2020-05-22,351471,Corrective,Engine,Brake pad replacement,7.7,805,412,44,TECH-011,False
TRUCK-0003,2022-10-01,345320,Preventive,Electrical,Electrical system troubleshooting,1.5,880,707,13,TECH-004,False
TRUCK-0003,2022-11-30,359327,Preventive,Electrical,Coolant system flush,5.5,1262,134,40,TECH-020,True
TRUCK-0003,2021-08-01,368933,Inspection,Electrical,Electrical system troubleshooting,3.2,770,711,56,TECH-015,True
TRUCK-0003,2022-02-12,370397,Preventive,Tires,Oil change and filter replacement,6.7,1472,200,11,TECH-007,True
TRUCK-0003,2022-11-06,345022,Emergency,Tires,Transmission fluid change,2.4,257,250,58,TECH-012,True
TRUCK-0004,2022-03-23,439327,Corrective,Engine,Tire rotation and balancing,1.5,129,541,61,TECH-009,True
TRUCK-0004,2020-02-13,425171,Preventive,Brakes,Electrical system troubleshooting,4.3,204,188,55,TECH-016,True
TRUCK-0004,2020-07-27,435928,Corrective,Electrical,Engine diagnostic and repair,6.8,161,748,64,TECH-001,True
TRUCK-0004,2021-08-15,425660,Emergency,Brakes,Tire rotation and balancing,4.3,396,578,30,TECH-001,True
TRUCK-0004,2021-08-08,429520,Emergency,Electrical,Brake pad replacement,4.9,656,171,1,TECH-001,True
TRUCK-0004,2022-05-04,418198,Inspection,Electrical,Tire rotation and balancing,5.9,137,406,58,TECH-010,True
TRUCK-0004,2023-12-21,403306,Preventive,Transmission,Tire rotation and balancing,7.9,660,167,34,TECH-003,True
TRUCK-0004,2020-04-24,442062,Emergency,DOT Inspection,DOT annual inspection,7.6,1450,276,57,TECH-004,False
TRUCK-0004,2022-08-22,407441,Inspection,Transmission,Coolant system flush,5.5,699,237,26,TECH-020,True
TRUCK-0004,2022-03-31,421860,Corrective,Brakes,Air filter replacement,1.4,1170,769,22,TECH-005,False
